Grupos de edad;Ambos Sexos
40-44;69.870
45-49;62.078
50-54;58.192
55-59;51.641
60-64;40.663
65-69;29.853
70-74;21.148
75-79;13.963
80-84;8.404
85-89;4.662
90-94;2.336
95-99;967
100 AÑOS Y MÁS;261
Nariño;
Total;1.627.589
00-04;125.196
05-09;124.843
10-14;127.544
15-19;136.053
20-24;139.704
25-29;132.911
30-34;122.891
35-39;117.823
40-44;107.064
45-49;96.621
50-54;89.676
55-59;78.051
60-64;63.785
65-69;52.035
70-74;41.582
75-79;30.020
80-84;19.664
85-89;12.018
90-94;6.564
95-99;2.865
100 AÑOS Y MÁS;679
Norte de Santander;
Total;1.620.318
00-04;138.941
05-09;136.928
10-14;134.754
15-19;137.463
20-24;144.381
25-29;139.605
30-34;126.434
35-39;115.566
40-44;101.418
45-49;90.835
50-54;85.181
55-59;75.813
60-64;61.851
65-69;46.750
70-74;33.181
75-79;22.234
80-84;14.023
85-89;8.217
90-94;4.343
95-99;1.883
100 AÑOS Y MÁS;517
Quindio;
Total;555.401
00-04;33.529
05-09;33.116
10-14;34.727
15-19;40.027
20-24;43.916
25-29;43.363
30-34;39.526
35-39;38.848
40-44;36.073
45-49;34.103
50-54;36.117
55-59;35.629
60-64;32.027
65-69;26.104
70-74;19.434
75-79;13.035
80-84;7.918
85-89;4.440
90-94;2.239
95-99;943
100 AÑOS Y MÁS;287
Risaralda;
Total;961.055
00-04;62.849
05-09;62.758
10-14;64.835
15-19;70.985
20-24;75.486
25-29;75.712
30-34;69.858
35-39;68.500
40-44;62.593
45-49;57.904
50-54;60.128
55-59;58.127
60-64;52.160
65-69;41.927
70-74;31.149
75-79;21.109
80-84;12.606
85-89;6.936
90-94;3.458
95-99;1.433
100 AÑOS Y MÁS;542
Santander;
Total;2.280.908
00-04;165.045
05-09;167.598
10-14;171.002
15-19;178.686
20-24;191.313
25-29;187.948
30-34;173.896
35-39;164.489
40-44;150.269
45-49;140.103
50-54;137.287
55-59;123.501
60-64;100.919
65-69;78.396
70-74;58.345
75-79;40.077
80-84;25.188
85-89;14.770
90-94;7.800
95-99;3.331
100 AÑOS Y MÁS;945
Sucre;
Total;949.252
00-04;82.687
05-09;84.460
10-14;85.721
15-19;86.649
20-24;80.649
25-29;74.317
30-34;67.633
35-39;62.286
40-44;56.795
45-49;53.072
50-54;50.698
55-59;44.389
60-64;35.679
65-69;28.737
70-74;21.628
75-79;14.510
80-84;9.223
85-89;5.469
90-94;2.934
95-99;1.299
100 AÑOS Y MÁS;417
Tolima;
Total;1.339.998
00-04;90.990
05-09;98.101
10-14;105.271
15-19;112.183
20-24;106.504
25-29;97.209
30-34;89.609
35-39;87.120
40-44;82.909
45-49;79.901
50-54;81.988
55-59;78.165
60-64;67.487
65-69;54.604
70-74;41.865
75-79;28.975
80-84;18.138
85-89;10.559
90-94;5.510
95-99;2.342
100 AÑOS Y MÁS;568
Valle del Cauca;
Total;4.532.152
00-04;340.444
05-09;347.362
10-14;354.932
15-19;364.129
20-24;361.788
25-29;347.250
30-34;319.269
35-39;305.388
40-44;283.386
45-49;267.093
50-54;270.517
55-59;253.775
60-64;217.299
65-69;171.827
70-74;127.526
75-79;87.521
80-84;54.551
85-89;31.708
90-94;16.633
95-99;7.117
100 AÑOS Y MÁS;2.637
Arauca;
Total;294.206
00-04;29.892
05-09;28.451
10-14;27.267
15-19;27.280
20-24;27.504
25-29;26.632
30-34;23.484
35-39;20.618
40-44;17.572
45-49;15.227
50-54;13.550
55-59;11.199
60-64;8.499
65-69;6.056
70-74;4.223
75-79;2.908
80-84;1.865
85-89;1.107
90-94;585
95-99;235
100 AÑOS Y MÁS;52
Casanare;
Total;435.195
00-04;40.185
05-09;39.372
10-14;38.831
15-19;39.278
20-24;38.834
25-29;37.479
30-34;35.636
35-39;32.870
40-44;29.387
45-49;25.617
50-54;21.914
55-59;17.646
60-64;13.573
65-69;9.419
70-74;6.392
75-79;4.196
80-84;2.420
85-89;1.271
90-94;579
95-99;254
100 AÑOS Y MÁS;42
Putumayo;
Total;359.127
00-04;32.760
05-09;33.185
10-14;33.804
15-19;34.659
20-24;33.631
25-29;30.542
30-34;27.766
35-39;25.614
40-44;22.441
45-49;19.705
50-54;16.865
55-59;13.846
60-64;10.789
65-69;8.119
70-74;6.041
75-79;4.123
80-84;2.567
85-89;1.470
90-94;767
95-99;342
100 AÑOS Y MÁS;91
Archipiélago de San Andrés;
Total;63.692
00-04;4.926
05-09;4.734
10-14;4.589
15-19;4.631
20-24;4.635
25-29;5.223
30-34;5.001
35-39;4.481
40-44;4.043
45-49;3.936
50-54;4.386
55-59;4.487
60-64;3.404
65-69;2.164
70-74;1.361
75-79;836
80-84;459
85-89;223
90-94;100
95-99;46
100 AÑOS Y MÁS;27
Amazonas;
Total;79.020
00-04;9.562
05-09;9.678
10-14;9.378
15-19;8.371
20-24;6.869
25-29;5.995
30-34;5.474
35-39;4.895
40-44;4.109
45-49;3.457
50-54;2.891
55-59;2.426
60-64;1.905
65-69;1.426
70-74;910
75-79;600
80-84;455
85-89;319
90-94;193
95-99;92
100 AÑOS Y MÁS;15
Guainía;
Total;50.636
00-04;6.749
05-09;6.713
10-14;6.550
15-19;6.045
20-24;4.898
25-29;3.710
30-34;3.010
35-39;2.650
40-44;2.300
45-49;1.946
50-54;1.663
55-59;1.418
60-64;970
65-69;640
70-74;518
75-79;357
80-84;232
85-89;145
90-94;81
95-99;33
100 AÑOS Y MÁS;8
Guaviare;
Total;86.657
00-04;9.393
05-09;9.109
10-14;8.870
15-19;8.666
20-24;7.992
25-29;6.700
30-34;5.884
35-39;5.378
40-44;5.085
45-49;4.595
50-54;4.117
55-59;3.555
60-64;2.661
65-69;1.824
70-74;1.237
75-79;777
80-84;432
85-89;215
90-94;96
95-99;38
100 AÑOS Y MÁS;33
Vaupés;
Total;44.712
00-04;6.386
05-09;6.655
10-14;6.710
15-19;5.971
20-24;4.010
25-29;2.649
30-34;2.203
35-39;1.863
40-44;1.636
45-49;1.476
50-54;1.281
55-59;1.156
60-64;921
65-69;668
70-74;425
75-79;262
80-84;195
85-89;130
90-94;71
95-99;35
100 AÑOS Y MÁS;9
Vichada;
Total;112.958
00-04;13.973
05-09;14.148
10-14;13.867
15-19;12.759
20-24;10.865
25-29;8.884
30-34;7.492
35-39;6.544
40-44;5.704
45-49;4.758
50-54;4.031
55-59;3.361
60-64;2.492
65-69;1.726
70-74;1.085
75-79;620
80-84;346
85-89;174
90-94;74
95-99;32
100 AÑOS Y MÁS;23
Medellín;
Total;2.533.424
00-04;148.533
05-09;150.996
10-14;160.579
15-19;187.440
20-24;227.837
25-29;238.168
30-34;214.368
35-39;192.713
40-44;163.750
45-49;146.769
50-54;156.781
55-59;151.772
60-64;125.948
65-69;97.011
70-74;70.526
75-79;46.216
80-84;27.150
85-89;14.840
90-94;7.359
95-99;3.037
100 AÑOS Y MÁS;1.631
Abejorral;
Total;20.287
00-04;1.291
05-09;1.439
10-14;1.607
15-19;1.622
20-24;1.417
25-29;1.235
30-34;1.240
35-39;1.409
40-44;1.376
45-49;1.215
50-54;1.239
55-59;1.303
60-64;1.236
65-69;969
70-74;688
75-79;475
80-84;285
85-89;140
90-94;56
95-99;30
100 AÑOS Y MÁS;15
Abriaquí;
Total;2.735
00-04;213
05-09;213
10-14;214
15-19;231
20-24;209
25-29;174
30-34;178
35-39;192
40-44;172
45-49;157
50-54;167
55-59;158
60-64;126
65-69;101
70-74;87
75-79;67
80-84;47
85-89;22
90-94;3
95-99;4
100 AÑOS Y MÁS;0
Alejandría;
Total;4.698
00-04;420
05-09;386
10-14;351
15-19;345
20-24;323
25-29;313
30-34;325
35-39;316
40-44;267
45-49;254
50-54;281
55-59;287
60-64;240
65-69;186
70-74;147
75-79;119
80-84;73
85-89;41
90-94;18
95-99;6
100 AÑOS Y MÁS;0
Amagá;
Total;31.283
00-04;2.024
05-09;2.078
10-14;2.202
15-19;2.416
20-24;2.608
25-29;2.577
30-34;2.329
35-39;2.209
40-44;2.011
45-49;1.943
50-54;2.099
55-59;1.991
60-64;1.620
65-69;1.191
70-74;838
75-79;527
80-84;312
85-89;178
90-94;90
95-99;31
100 AÑOS Y MÁS;9
Amalfi;
Total;27.071
00-04;2.181
05-09;2.355
10-14;2.532
15-19;2.499
20-24;2.288
25-29;2.130
30-34;1.981
35-39;1.821
40-44;1.589
45-49;1.479
50-54;1.509
55-59;1.331
60-64;1.070
65-69;846
70-74;603
75-79;386
80-84;234
85-89;137
90-94;64
95-99;27
100 AÑOS Y MÁS;9
Andes;
Total;44.199
00-04;3.157
05-09;3.206
10-14;3.321
15-19;3.620
20-24;3.674
25-29;3.317
30-34;3.038
35-39;3.098
40-44;2.946
45-49;2.653
50-54;2.611
55-59;2.552
60-64;2.298
65-69;1.820
70-74;1.270
75-79;769
80-84;426
85-89;230
90-94;117
95-99;49
100 AÑOS Y MÁS;27
Angelópolis;
Total;5.841
00-04;402
05-09;416
10-14;441
15-19;469
20-24;454
25-29;424
30-34;395
35-39;385
40-44;365
45-49;338
50-54;362
55-59;379
60-64;325
65-69;238
70-74;183
75-79;125
80-84;71
85-89;36
90-94;22
95-99;9
100 AÑOS Y MÁS;2
Angostura;
Total;11.536
00-04;972
05-09;1.005
10-14;1.047
15-19;1.053
20-24;957
25-29;855
30-34;796
35-39;775
40-44;687
45-49;594
50-54;594
55-59;601
60-64;528
65-69;407
70-74;283
75-79;176
80-84;104
85-89;59
90-94;27
95-99;14
100 AÑOS Y MÁS;2
Anorí;
Total;19.104
00-04;1.964
05-09;1.941
10-14;1.894
15-19;1.801
20-24;1.704
25-29;1.664
30-34;1.466
35-39;1.248
40-44;1.070
45-49;946
50-54;872
55-59;739
60-64;567
65-69;435
70-74;326
75-79;216
80-84;127
85-89;69
90-94;32
95-99;19
100 AÑOS Y MÁS;4
Santafé de Antioquia;
Total;27.002
00-04;1.956
05-09;2.063
10-14;2.179
15-19;2.225
20-24;2.214
25-29;2.197
30-34;2.114
35-39;1.994
40-44;1.717
45-49;1.517
50-54;1.524
55-59;1.421
60-64;1.172
65-69;904
70-74;698
75-79;475
80-84;288
85-89;173
90-94;96
95-99;51
100 AÑOS Y MÁS;24
Anza;
Total;7.169
00-04;626
05-09;639
10-14;653
15-19;638
20-24;567
25-29;513
30-34;491
35-39;489
40-44;461
45-49;418
50-54;387
55-59;339
60-64;278
65-69;224
70-74;167
75-79;116
80-84;71
85-89;46
90-94;30
95-99;14
100 AÑOS Y MÁS;2
Apartadó;
Total;127.744
00-04;11.572
05-09;11.833
10-14;12.012
15-19;11.920
20-24;11.874
25-29;11.833
30-34;10.870
35-39;9.635
40-44;8.078
45-49;6.759
50-54;6.207
55-59;5.233
60-64;3.770
65-69;2.425
70-74;1.557
75-79;1.040
80-84;620
85-89;300
90-94;119
95-99;55
100 AÑOS Y MÁS;32
Arboletes;
Total;30.510
00-04;3.262
05-09;3.276
10-14;3.202
15-19;2.854
20-24;2.215
25-29;1.958
30-34;1.934
35-39;1.927
40-44;1.817
45-49;1.609
50-54;1.487
55-59;1.343
60-64;1.143
65-69;874
70-74;637
75-79;450
80-84;277
85-89;142
90-94;64
95-99;31
100 AÑOS Y MÁS;8
Argelia;
Total;7.545
00-04;665
05-09;693
10-14;714
15-19;671
20-24;556
25-29;489
30-34;499
35-39;499
40-44;440
45-49;392
50-54;380
55-59;377
60-64;355
65-69;299
70-74;223
75-79;142
80-84;83
85-89;41
90-94;16
95-99;10
100 AÑOS Y MÁS;1
Armenia;
Total;5.074
00-04;324
05-09;330
10-14;340
15-19;333
20-24;285
25-29;260
30-34;278
35-39;308
40-44;310
45-49;321
50-54;371
55-59;389
60-64;365
65-69;292
70-74;214
75-79;166
80-84;109
85-89;52
90-94;19
95-99;8
100 AÑOS Y MÁS;0
Barbosa;
Total;54.347
00-04;3.314
05-09;3.463
10-14;3.759
15-19;4.169
20-24;4.446
25-29;4.348
30-34;4.036
35-39;3.950
40-44;3.704
45-49;3.547
50-54;3.644
55-59;3.320
60-64;2.699
65-69;2.116
70-74;1.611
75-79;1.081
80-84;608
85-89;307
90-94;145
95-99;59
100 AÑOS Y MÁS;21
Belmira;
Total;6.116
00-04;491
05-09;541
10-14;591
15-19;590
20-24;516
25-29;424
30-34;390
35-39;411
40-44;416
45-49;388
50-54;345
55-59;290
60-64;226
65-69;167
70-74;124
75-79;92
80-84;58
85-89;30
90-94;16
95-99;8
100 AÑOS Y MÁS;2
Bello;
Total;552.154
00-04;35.416
05-09;35.497
10-14;36.938
15-19;42.322
20-24;51.350
25-29;54.683
30-34;49.994
35-39;44.418
40-44;36.526
45-49;31.688
50-54;32.867
55-59;30.746
60-64;24.472
65-69;17.759
70-74;11.999
75-79;7.382
80-84;4.158
85-89;2.223
90-94;1.083
95-99;434
100 AÑOS Y MÁS;199
Betania;
Total;10.284
00-04;789
05-09;863
10-14;933
15-19;918
20-24;804
25-29;686
30-34;634
35-39;662
40-44;646
45-49;603
50-54;599
55-59;588
60-64;511
65-69;385
70-74;277
75-79;180
80-84;101
85-89;57
90-94;28
95-99;16
100 AÑOS Y MÁS;4
Betulia;
Total;15.896
00-04;1.379
05-09;1.431
10-14;1.492
15-19;1.460
20-24;1.287
25-29;1.136
30-34;1.030
35-39;1.029
40-44;1.017
45-49;948
50-54;895
55-59;799
60-64;653
65-69;497
70-74;356
75-79;236
80-84;134
85-89;65
90-94;27
95-99;20
100 AÑOS Y MÁS;5
Ciudad Bolívar;
Total;26.313
00-04;1.849
05-09;1.986
10-14;2.117
15-19;2.088
20-24;1.970
25-29;1.879
30-34;1.771
35-39;1.715
40-44;1.588
45-49;1.541
50-54;1.678
55-59;1.613
60-64;1.365
65-69;1.056
70-74;760
75-79;504
80-84;298
85-89;156
90-94;82
95-99;92
100 AÑOS Y MÁS;205
Briceño;
Total;8.120
00-04;839
05-09;839
10-14;823
15-19;767
20-24;653
25-29;609
30-34;580
35-39;548
40-44;466
45-49;397
50-54;395
55-59;360
60-64;284
65-69;204
70-74;149
75-79;95
80-84;56
85-89;29
90-94;14
95-99;11
100 AÑOS Y MÁS;2
Buriticá;
Total;9.634
00-04;927
05-09;906
10-14;885
15-19;863
20-24;824
25-29;757
30-34;679
35-39;628
40-44;559
45-49;491
50-54;463
55-59;409
60-64;344
65-69;270
70-74;216
75-79;180
80-84;124
85-89;66
90-94;28
95-99;13
100 AÑOS Y MÁS;2
Cáceres;
Total;30.356
00-04;3.780
05-09;3.611
10-14;3.369
15-19;2.997
20-24;2.403
25-29;2.052
30-34;1.925
35-39;1.820
40-44;1.611
45-49;1.422
50-54;1.330
55-59;1.161
60-64;906
65-69;671
70-74;496
75-79;366
80-84;232
85-89;121
90-94;54
95-99;23
100 AÑOS Y MÁS;6
Caicedo;
Total;8.536
00-04;810
05-09;801
10-14;784
15-19;753
20-24;697
25-29;667
30-34;624
35-39;590
40-44;530
45-49;468
50-54;428
55-59;366
60-64;304
65-69;249
70-74;202
75-79;134
80-84;69
85-89;34
90-94;16
95-99;8
100 AÑOS Y MÁS;2
Caldas;
Total;83.423
00-04;4.475
05-09;4.609
10-14;4.996
15-19;5.840
20-24;7.069
25-29;7.400
30-34;6.781
35-39;6.354
40-44;5.680
45-49;5.360
50-54;5.777
55-59;5.568
60-64;4.599
65-69;3.442
70-74;2.390
75-79;1.463
80-84;810
85-89;439
90-94;204
95-99;90
100 AÑOS Y MÁS;77
Campamento;
Total;9.243
00-04;813
05-09;905
10-14;972
15-19;900
20-24;735
25-29;635
30-34;607
35-39;595
40-44;525
45-49;459
50-54;460
55-59;442
60-64;370
65-69;285
70-74;211
75-79;154
80-84;90
85-89;50
90-94;23
95-99;10
100 AÑOS Y MÁS;2
Cañasgordas;
Total;15.552
00-04;1.241
05-09;1.297
10-14;1.354
15-19;1.341
20-24;1.191
25-29;1.046
30-34;981
35-39;974
40-44;900
45-49;837
50-54;859
55-59;863
60-64;777
65-69;616
70-74;481
75-79;348
80-84;215
85-89;120
90-94;66
95-99;31
100 AÑOS Y MÁS;14
Caracolí;
Total;4.532
00-04;346
05-09;331
10-14;313
15-19;310
20-24;307
25-29;297
30-34;280
35-39;262
40-44;256
45-49;272
50-54;310
55-59;314
60-64;262
65-69;216
70-74;188
75-79;129
80-84;71
85-89;38
90-94;21
95-99;9
100 AÑOS Y MÁS;0
Caramanta;
Total;4.648
00-04;277
05-09;304
10-14;333
15-19;331
20-24;294
25-29;281
30-34;298
35-39;330
40-44;312
45-49;295
50-54;314
55-59;321
60-64;316
65-69;257
70-74;175
75-79;104
80-84;57
85-89;31
90-94;14
95-99;4
100 AÑOS Y MÁS;0
Carepa;
Total;51.143
00-04;4.967
05-09;5.124
10-14;5.262
15-19;5.221
20-24;4.842
25-29;4.482
30-34;4.212
35-39;3.869
40-44;3.096
45-49;2.398
50-54;2.164
55-59;1.870
60-64;1.364
65-69;883
70-74;582
75-79;387
80-84;226
85-89;106
90-94;44
95-99;28
100 AÑOS Y MÁS;16
El Carmen de Viboral;
Total;62.581
00-04;5.045
05-09;4.839
10-14;4.731
15-19;5.005
20-24;5.473
25-29;5.438
30-34;5.047
35-39;4.878
40-44;4.270
45-49;3.569
50-54;3.390
55-59;3.134
60-64;2.642
65-69;2.031
70-74;1.404
75-79;843
80-84;452
85-89;226
90-94;109
95-99;43
100 AÑOS Y MÁS;12
Carolina;
Total;3.972
00-04;178
05-09;209
10-14;250
15-19;280
20-24;264
25-29;269
30-34;271
35-39;254
40-44;247
45-49;269
50-54;316
55-59;317
60-64;255
65-69;199
70-74;156
75-79;110
80-84;63
85-89;32
90-94;21
95-99;12
100 AÑOS Y MÁS;0
Caucasia;
Total;95.427
00-04;9.569
05-09;9.557
10-14;9.291
15-19;8.711
20-24;8.124
25-29;7.801
30-34;7.251
35-39;6.599
40-44;5.568
45-49;4.764
50-54;4.627
55-59;4.159
60-64;3.274
65-69;2.325
70-74;1.551
75-79;1.041
80-84;641
85-89;328
90-94;152
95-99;67
100 AÑOS Y MÁS;27
Chigorodó;
Total;59.836
00-04;5.789
05-09;6.036
10-14;6.199
15-19;5.965
20-24;5.506
25-29;5.092
30-34;4.622
35-39;4.208
40-44;3.528
45-49;2.908
50-54;2.671
55-59;2.288
60-64;1.739
65-69;1.220
70-74;856
75-79;582
80-84;336
85-89;168
90-94;79
95-99;36
100 AÑOS Y MÁS;8
Cisneros;
Total;9.936
00-04;644
05-09;688
10-14;726
15-19;720
20-24;707
25-29;724
30-34;690
35-39;648
40-44;596
45-49;581
50-54;653
55-59;656
60-64;562
65-69;446
70-74;348
75-79;256
80-84;155
85-89;78
90-94;36
95-99;18
100 AÑOS Y MÁS;4
Cocorná;
Total;14.833
00-04;1.334
05-09;1.266
10-14;1.198
15-19;1.152
20-24;1.072
25-29;965
30-34;931
35-39;938
40-44;842
45-49;793
50-54;865
55-59;866
60-64;759
65-69;619
70-74;479
75-79;343
80-84;220
85-89;117
90-94;49
95-99;23
100 AÑOS Y MÁS;2
Concepción;
Total;4.758
00-04;337
05-09;349
10-14;354
15-19;347
20-24;326
25-29;276
30-34;260
35-39;311
40-44;321
45-49;298
50-54;311
55-59;317
60-64;282
65-69;228
70-74;171
75-79;119
80-84;77
85-89;46
90-94;23
95-99;5
100 AÑOS Y MÁS;0
Concordia;
Total;21.688
00-04;1.486
05-09;1.649
10-14;1.831
15-19;1.860
20-24;1.682
25-29;1.472
30-34;1.353
35-39;1.397
40-44;1.395
45-49;1.349
50-54;1.355
55-59;1.262
60-64;1.098
65-69;895
70-74;676
75-79;450
80-84;262
85-89;136
90-94;54
95-99;22
100 AÑOS Y MÁS;4
Copacabana;
Total;81.820
00-04;4.396
05-09;4.588
10-14;5.072
15-19;5.984
20-24;7.064
25-29;7.217
30-34;6.596
35-39;6.113
40-44;5.472
45-49;5.324
50-54;5.801
55-59;5.454
60-64;4.333
65-69;3.140
70-74;2.173
75-79;1.432
80-84;866
85-89;466
90-94;220
95-99;82
100 AÑOS Y MÁS;27
Dabeiba;
Total;23.509
00-04;3.125
05-09;2.850
10-14;2.490
15-19;2.136
20-24;1.851
25-29;1.711
30-34;1.514
35-39;1.331
40-44;1.165
45-49;1.017
50-54;971
55-59;882
60-64;707
65-69;558
70-74;461
75-79;332
80-84;198
85-89;112
90-94;61
95-99;29
100 AÑOS Y MÁS;8
Don Matías;
Total;19.709
00-04;1.482
05-09;1.524
10-14;1.599
15-19;1.675
20-24;1.686
25-29;1.595
30-34;1.472
35-39;1.394
40-44;1.248
45-49;1.151
50-54;1.156
55-59;1.072
60-64;871
65-69;646
70-74;467
75-79;301
80-84;172
85-89;97
90-94;52
95-99;29
100 AÑOS Y MÁS;20
Ebéjico;
Total;12.134
00-04;702
05-09;783
10-14;866
15-19;857
20-24;732
25-29;658
30-34;654
35-39;704
40-44;752
45-49;806
50-54;895
55-59;910
60-64;840
65-69;691
70-74;522
75-79;352
80-84;211
85-89;120
90-94;60
95-99;17
100 AÑOS Y MÁS;2
El Bagre;
Total;53.846
00-04;6.280
05-09;6.215
10-14;5.942
15-19;5.292
20-24;4.461
25-29;4.187
30-34;3.900
35-39;3.353
40-44;2.738
45-49;2.419
50-54;2.388
55-59;2.117
60-64;1.627
65-69;1.141
70-74;760
75-79;483
80-84;284
85-89;151
90-94;67
95-99;31
100 AÑOS Y MÁS;10
Entrerrios;
Total;11.728
00-04;958
05-09;961
10-14;973
15-19;991
20-24;996
25-29;944
30-34;874
35-39;879
40-44;833
