Grupos de edad;Ambos Sexos
30-34;272
35-39;296
40-44;324
45-49;343
50-54;352
55-59;340
60-64;299
65-69;246
70-74;183
75-79;125
80-84;85
85-89;42
90-94;13
95-99;6
100 AÑOS Y MÁS;0
Ramiriquí;
Total;10.076
00-04;761
05-09;831
10-14;899
15-19;888
20-24;773
25-29;647
30-34;612
35-39;671
40-44;668
45-49;595
50-54;544
55-59;500
60-64;439
65-69;382
70-74;313
75-79;229
80-84;149
85-89;90
90-94;52
95-99;28
100 AÑOS Y MÁS;5
Ráquira;
Total;8.028
00-04;631
05-09;641
10-14;645
15-19;629
20-24;632
25-29;632
30-34;586
35-39;524
40-44;508
45-49;499
50-54;454
55-59;409
60-64;333
65-69;252
70-74;207
75-79;158
80-84;121
85-89;89
90-94;53
95-99;23
100 AÑOS Y MÁS;2
Rondón;
Total;2.373
00-04;166
05-09;190
10-14;205
15-19;177
20-24;139
25-29;119
30-34;122
35-39;112
40-44;121
45-49;139
50-54;138
55-59;148
60-64;150
65-69;128
70-74;102
75-79;79
80-84;61
85-89;44
90-94;25
95-99;8
100 AÑOS Y MÁS;0
Saboyá;
Total;13.849
00-04;1.149
05-09;1.196
10-14;1.223
15-19;1.172
20-24;1.014
25-29;834
30-34;758
35-39;777
40-44;821
45-49;857
50-54;841
55-59;743
60-64;642
65-69;550
70-74;445
75-79;342
80-84;236
85-89;143
90-94;67
95-99;34
100 AÑOS Y MÁS;5
Sáchica;
Total;5.677
00-04;553
05-09;515
10-14;480
15-19;495
20-24;507
25-29;488
30-34;436
35-39;393
40-44;352
45-49;305
50-54;264
55-59;231
60-64;207
65-69;159
70-74;112
75-79;78
80-84;51
85-89;29
90-94;16
95-99;6
100 AÑOS Y MÁS;0
Samacá;
Total;18.818
00-04;1.872
05-09;1.796
10-14;1.681
15-19;1.617
20-24;1.598
25-29;1.548
30-34;1.437
35-39;1.330
40-44;1.173
45-49;1.020
50-54;917
55-59;786
60-64;641
65-69;490
70-74;339
75-79;226
80-84;147
85-89;98
90-94;53
95-99;41
100 AÑOS Y MÁS;8
San Eduardo;
Total;1.660
00-04;107
05-09;107
10-14;110
15-19;118
20-24;110
25-29;108
30-34;98
35-39;94
40-44;105
45-49;108
50-54;104
55-59;90
60-64;83
65-69;92
70-74;84
75-79;51
80-84;37
85-89;29
90-94;20
95-99;5
100 AÑOS Y MÁS;0
San José de Pare;
Total;4.999
00-04;372
05-09;369
10-14;355
15-19;316
20-24;270
25-29;263
30-34;270
35-39;283
40-44;315
45-49;352
50-54;357
55-59;332
60-64;303
65-69;267
70-74;208
75-79;153
80-84;103
85-89;63
90-94;31
95-99;15
100 AÑOS Y MÁS;2
San Luis de Gaceno;
Total;5.473
00-04;391
05-09;425
10-14;443
15-19;415
20-24;356
25-29;332
30-34;334
35-39;355
40-44;361
45-49;332
50-54;326
55-59;318
60-64;286
65-69;252
70-74;206
75-79;157
80-84;95
85-89;48
90-94;34
95-99;7
100 AÑOS Y MÁS;0
San Mateo;
Total;3.131
00-04;246
05-09;241
10-14;233
15-19;219
20-24;191
25-29;161
30-34;158
35-39;160
40-44;158
45-49;150
50-54;155
55-59;178
60-64;200
65-69;197
70-74;159
75-79;125
80-84;94
85-89;61
90-94;37
95-99;8
100 AÑOS Y MÁS;0
San Miguel de Sema;
Total;3.011
00-04;251
05-09;268
10-14;269
15-19;222
20-24;173
25-29;162
30-34;175
35-39;184
40-44;178
45-49;168
50-54;161
55-59;158
60-64;155
65-69;140
70-74;107
75-79;82
80-84;66
85-89;49
90-94;31
95-99;12
100 AÑOS Y MÁS;0
San Pablo de Borbur;
Total;6.716
00-04;525
05-09;579
10-14;616
15-19;578
20-24;450
25-29;346
30-34;337
35-39;413
40-44;488
45-49;482
50-54;433
55-59;382
60-64;315
65-69;260
70-74;199
75-79;143
80-84;83
85-89;43
90-94;24
95-99;18
100 AÑOS Y MÁS;2
Santana;
Total;7.710
00-04;596
05-09;605
10-14;619
15-19;631
20-24;571
25-29;496
30-34;452
35-39;471
40-44;500
45-49;523
50-54;506
55-59;447
60-64;375
65-69;295
70-74;226
75-79;160
80-84;109
85-89;64
90-94;39
95-99;23
100 AÑOS Y MÁS;2
Santa María;
Total;3.498
00-04;242
05-09;264
10-14;273
15-19;251
20-24;217
25-29;219
30-34;226
35-39;210
40-44;210
45-49;227
50-54;240
55-59;226
60-64;199
65-69;161
70-74;116
75-79;85
80-84;57
85-89;35
90-94;34
95-99;6
100 AÑOS Y MÁS;0
Santa Rosa de Viterbo;
Total;13.325
00-04;766
05-09;857
10-14;930
15-19;1.264
20-24;1.191
25-29;903
30-34;879
35-39;920
40-44;887
45-49;829
50-54;785
55-59;744
60-64;694
65-69;576
70-74;411
75-79;290
80-84;197
85-89;111
90-94;52
95-99;34
100 AÑOS Y MÁS;5
Santa Sofía;
Total;3.212
00-04;284
05-09;269
10-14;237
15-19;211
20-24;198
25-29;192
30-34;191
35-39;178
40-44;175
45-49;184
50-54;183
55-59;169
60-64;152
65-69;143
70-74;132
75-79;110
80-84;86
85-89;66
90-94;38
95-99;14
100 AÑOS Y MÁS;0
Sativanorte;
Total;2.153
00-04;129
05-09;144
10-14;155
15-19;140
20-24;115
25-29;109
30-34;115
35-39;119
40-44;118
45-49;127
50-54;136
55-59;139
60-64;145
65-69;143
70-74;110
75-79;74
80-84;53
85-89;44
90-94;31
95-99;7
100 AÑOS Y MÁS;0
Sativasur;
Total;1.105
00-04;86
05-09;81
10-14;78
15-19;85
20-24;71
25-29;57
30-34;71
35-39;84
40-44;68
45-49;56
50-54;61
55-59;65
60-64;50
65-69;39
70-74;42
75-79;41
80-84;31
85-89;24
90-94;9
95-99;6
100 AÑOS Y MÁS;0
Siachoque;
Total;6.774
00-04;735
05-09;700
10-14;642
15-19;571
20-24;497
25-29;439
30-34;387
35-39;364
40-44;372
45-49;372
50-54;340
55-59;313
60-64;285
65-69;238
70-74;169
75-79;124
80-84;101
85-89;69
90-94;35
95-99;19
100 AÑOS Y MÁS;2
Soatá;
Total;8.832
00-04;543
05-09;595
10-14;643
15-19;629
20-24;574
25-29;527
30-34;531
35-39;564
40-44;552
45-49;534
50-54;551
55-59;560
60-64;539
65-69;460
70-74;346
75-79;251
80-84;185
85-89;125
90-94;80
95-99;38
100 AÑOS Y MÁS;5
Socotá;
Total;7.211
00-04;725
05-09;690
10-14;626
15-19;550
20-24;487
25-29;458
30-34;459
35-39;465
40-44;426
45-49;368
50-54;340
55-59;326
60-64;310
65-69;297
70-74;245
75-79;181
80-84;129
85-89;76
90-94;33
95-99;18
100 AÑOS Y MÁS;2
Socha;
Total;8.086
00-04;705
05-09;699
10-14;674
15-19;630
20-24;589
25-29;576
30-34;568
35-39;566
40-44;508
45-49;444
50-54;413
55-59;392
60-64;349
65-69;292
70-74;236
75-79;177
80-84;125
85-89;74
90-94;40
95-99;24
100 AÑOS Y MÁS;5
Sogamoso;
Total;131.105
00-04;8.699
05-09;9.135
10-14;9.612
15-19;10.150
20-24;10.533
25-29;10.232
30-34;9.779
35-39;9.783
40-44;8.926
45-49;8.163
50-54;8.177
55-59;7.647
60-64;6.466
65-69;4.957
70-74;3.497
75-79;2.360
80-84;1.496
85-89;856
90-94;441
95-99;158
100 AÑOS Y MÁS;38
Somondoco;
Total;2.880
00-04;127
05-09;150
10-14;169
15-19;168
20-24;140
25-29;120
30-34;110
35-39;128
40-44;177
45-49;210
50-54;208
55-59;204
60-64;205
65-69;197
70-74;182
75-79;153
80-84;105
85-89;66
90-94;44
95-99;17
100 AÑOS Y MÁS;0
Sora;
Total;3.077
00-04;285
05-09;280
10-14;269
15-19;253
20-24;244
25-29;214
30-34;202
35-39;203
40-44;179
45-49;158
50-54;141
55-59;145
60-64;152
65-69;139
70-74;93
75-79;54
80-84;36
85-89;17
90-94;7
95-99;6
100 AÑOS Y MÁS;0
Sotaquirá;
Total;8.305
00-04;775
05-09;752
10-14;714
15-19;680
20-24;598
25-29;510
30-34;485
35-39;502
40-44;492
45-49;473
50-54;464
55-59;424
60-64;380
65-69;343
70-74;265
75-79;187
80-84;126
85-89;77
90-94;38
95-99;18
100 AÑOS Y MÁS;2
Soracá;
Total;6.068
00-04;554
05-09;589
10-14;599
15-19;532
20-24;445
25-29;402
30-34;398
35-39;388
40-44;361
45-49;323
50-54;296
55-59;276
60-64;255
65-69;225
70-74;162
75-79;101
80-84;69
85-89;43
90-94;33
95-99;15
100 AÑOS Y MÁS;2
Susacón;
Total;2.704
00-04;169
05-09;191
10-14;206
15-19;187
20-24;172
25-29;159
30-34;139
35-39;142
40-44;148
45-49;165
50-54;172
55-59;165
60-64;149
65-69;140
70-74;123
75-79;99
80-84;73
85-89;53
90-94;35
95-99;17
100 AÑOS Y MÁS;0
Sutamarchán;
Total;6.228
00-04;461
05-09;488
10-14;507
15-19;498
20-24;459
25-29;420
30-34;403
35-39;406
40-44;403
45-49;390
50-54;350
55-59;318
60-64;294
65-69;260
70-74;208
75-79;141
80-84;90
85-89;70
90-94;43
95-99;17
100 AÑOS Y MÁS;2
Sutatenza;
Total;4.222
00-04;241
05-09;270
10-14;298
15-19;285
20-24;245
25-29;215
30-34;212
35-39;225
40-44;235
45-49;244
50-54;259
55-59;269
60-64;260
65-69;245
70-74;224
75-79;179
80-84;131
85-89;94
90-94;62
95-99;29
100 AÑOS Y MÁS;0
Tasco;
Total;5.792
00-04;462
05-09;492
10-14;501
15-19;445
20-24;384
25-29;360
30-34;369
35-39;372
40-44;349
45-49;338
50-54;331
55-59;303
60-64;280
65-69;244
70-74;189
75-79;142
80-84;99
85-89;69
90-94;39
95-99;22
100 AÑOS Y MÁS;2
Tenza;
Total;3.821
00-04;195
05-09;226
10-14;258
15-19;250
20-24;209
25-29;171
30-34;172
35-39;189
40-44;219
45-49;252
50-54;277
55-59;283
60-64;266
65-69;230
70-74;198
75-79;161
80-84;117
85-89;79
90-94;50
95-99;19
100 AÑOS Y MÁS;0
Tibaná;
Total;9.119
00-04;708
05-09;726
10-14;717
15-19;660
20-24;540
25-29;444
30-34;451
35-39;502
40-44;521
45-49;540
50-54;570
55-59;559
60-64;513
65-69;485
70-74;418
75-79;301
80-84;205
85-89;134
90-94;88
95-99;35
100 AÑOS Y MÁS;2
Tibasosa;
Total;13.396
00-04;994
05-09;989
10-14;1.001
15-19;1.065
20-24;1.091
25-29;978
30-34;876
35-39;874
40-44;869
45-49;854
50-54;817
55-59;728
60-64;632
65-69;522
70-74;367
75-79;245
80-84;194
85-89;151
90-94;95
95-99;46
100 AÑOS Y MÁS;8
Tinjacá;
Total;3.351
00-04;277
05-09;261
10-14;243
15-19;240
20-24;225
25-29;210
30-34;205
35-39;191
40-44;190
45-49;206
50-54;200
55-59;181
60-64;160
65-69;153
70-74;130
75-79;102
80-84;73
85-89;53
90-94;37
95-99;14
100 AÑOS Y MÁS;0
Tipacoque;
Total;3.290
00-04;240
05-09;256
10-14;263
15-19;252
20-24;212
25-29;197
30-34;202
35-39;213
40-44;207
45-49;204
50-54;187
55-59;173
60-64;177
65-69;167
70-74;127
75-79;87
80-84;59
85-89;40
90-94;23
95-99;4
100 AÑOS Y MÁS;0
Toca;
Total;8.893
00-04;874
05-09;845
10-14;787
15-19;739
20-24;682
25-29;607
30-34;545
35-39;544
40-44;534
45-49;486
50-54;456
55-59;428
60-64;385
65-69;321
70-74;231
75-79;162
80-84;114
85-89;75
90-94;47
95-99;26
100 AÑOS Y MÁS;5
Togüí;
Total;4.335
00-04;388
05-09;411
10-14;400
15-19;315
20-24;237
25-29;232
30-34;254
35-39;258
40-44;253
45-49;257
50-54;271
55-59;265
60-64;220
65-69;176
70-74;137
75-79;102
80-84;66
85-89;47
90-94;29
95-99;15
100 AÑOS Y MÁS;2
Tópaga;
Total;3.697
00-04;337
05-09;322
10-14;308
15-19;312
20-24;301
25-29;260
30-34;235
35-39;234
40-44;215
45-49;194
50-54;196
55-59;195
60-64;160
65-69;122
70-74;98
75-79;71
80-84;62
85-89;43
90-94;23
95-99;9
100 AÑOS Y MÁS;0
Tota;
Total;5.233
00-04;537
05-09;512
10-14;469
15-19;417
20-24;350
25-29;330
30-34;333
35-39;325
40-44;308
45-49;291
50-54;279
55-59;252
60-64;215
65-69;188
70-74;159
75-79;109
80-84;72
85-89;44
90-94;24
95-99;17
100 AÑOS Y MÁS;2
Tununguá;
Total;1.576
00-04;161
05-09;142
10-14;116
15-19;113
20-24;106
25-29;91
30-34;92
35-39;104
40-44;109
45-49;92
50-54;79
55-59;71
60-64;72
65-69;68
70-74;57
75-79;37
80-84;29
85-89;18
90-94;15
95-99;4
100 AÑOS Y MÁS;0
Turmequé;
Total;6.156
00-04;425
05-09;474
10-14;498
15-19;438
20-24;328
25-29;294
30-34;333
35-39;372
40-44;373
45-49;364
50-54;379
55-59;384
60-64;363
65-69;331
70-74;285
75-79;213
80-84;144
85-89;89
90-94;42
95-99;25
100 AÑOS Y MÁS;2
Tuta;
Total;8.461
00-04;739
05-09;737
10-14;710
15-19;663
20-24;609
25-29;568
30-34;531
35-39;516
40-44;506
45-49;479
50-54;445
55-59;421
60-64;386
65-69;332
70-74;272
75-79;207
80-84;151
85-89;105
90-94;58
95-99;24
100 AÑOS Y MÁS;2
Tutazá;
Total;2.039
00-04;192
05-09;172
10-14;157
15-19;152
20-24;148
25-29;131
30-34;122
35-39;124
40-44;125
45-49;116
50-54;116
55-59;118
60-64;103
65-69;83
70-74;65
75-79;47
80-84;29
85-89;21
90-94;12
95-99;6
100 AÑOS Y MÁS;0
Umbita;
Total;7.552
00-04;588
05-09;629
10-14;648
15-19;577
20-24;466
25-29;383
30-34;383
35-39;436
40-44;495
45-49;501
50-54;463
55-59;413
60-64;379
65-69;346
70-74;295
75-79;224
80-84;152
85-89;98
90-94;55
95-99;19
100 AÑOS Y MÁS;2
Ventaquemada;
Total;16.093
00-04;1.455
05-09;1.452
10-14;1.425
15-19;1.354
20-24;1.235
25-29;1.067
30-34;1.039
35-39;1.070
40-44;1.040
45-49;961
50-54;829
55-59;705
60-64;617
65-69;552
70-74;447
75-79;321
80-84;210
85-89;127
90-94;71
95-99;57
100 AÑOS Y MÁS;59
Viracachá;
Total;2.809
00-04;175
05-09;214
10-14;246
15-19;242
20-24;178
25-29;131
30-34;126
35-39;152
40-44;182
45-49;184
50-54;165
55-59;169
60-64;167
65-69;146
70-74;121
75-79;95
80-84;60
85-89;34
90-94;16
95-99;6
100 AÑOS Y MÁS;0
Zetaquira;
Total;4.625
00-04;329
05-09;361
10-14;387
15-19;360
20-24;287
25-29;240
30-34;249
35-39;284
40-44;276
45-49;263
50-54;275
55-59;278
60-64;250
65-69;213
70-74;189
75-79;149
80-84;102
85-89;65
90-94;43
95-99;23
100 AÑOS Y MÁS;2
Manizales;
Total;446.160
00-04;23.587
05-09;24.049
10-14;26.178
15-19;31.658
20-24;36.570
25-29;36.638
30-34;33.139
35-39;31.813
40-44;28.949
45-49;27.736
50-54;29.821
55-59;29.708
60-64;26.666
65-69;21.416
70-74;15.620
75-79;10.251
80-84;6.139
85-89;3.478
90-94;1.813
95-99;730
100 AÑOS Y MÁS;201
Aguadas;
Total;23.048
00-04;1.679
05-09;1.654
10-14;1.639
15-19;1.612
20-24;1.526
25-29;1.533
30-34;1.506
35-39;1.530
40-44;1.500
45-49;1.508
50-54;1.520
55-59;1.454
60-64;1.340
65-69;1.095
70-74;805
75-79;521
80-84;308
85-89;173
90-94;93
95-99;39
100 AÑOS Y MÁS;13
Anserma;
Total;36.691
00-04;2.398
05-09;2.473
10-14;2.589
15-19;2.649
20-24;2.556
25-29;2.536
30-34;2.400
35-39;2.413
40-44;2.326
45-49;2.287
50-54;2.412
55-59;2.411
60-64;2.247
65-69;1.831
70-74;1.298
75-79;828
80-84;499
85-89;291
90-94;163
95-99;67
100 AÑOS Y MÁS;17
Aranzazu;
Total;10.556
00-04;784
05-09;789
10-14;800
15-19;783
20-24;664
25-29;587
30-34;585
35-39;639
40-44;662
45-49;669
50-54;685
55-59;681
60-64;639
65-69;538
70-74;414
75-79;290
80-84;176
85-89;93
90-94;47
95-99;25
100 AÑOS Y MÁS;6
Belalcázar;
Total;10.650
00-04;982
05-09;906
10-14;837
15-19;822
20-24;760
25-29;694
30-34;646
35-39;649
40-44;597
45-49;590
50-54;620
55-59;619
60-64;601
65-69;490
70-74;344
75-79;221
80-84;129
85-89;72
90-94;40
95-99;25
100 AÑOS Y MÁS;6
Chinchiná;
Total;52.267
00-04;3.125
05-09;3.292
10-14;3.560
15-19;3.876
20-24;4.034
25-29;4.058
30-34;3.741
35-39;3.547
40-44;3.311
45-49;3.279
50-54;3.454
55-59;3.335
60-64;2.994
65-69;2.386
70-74;1.700
75-79;1.164
80-84;730
85-89;401
90-94;196
95-99;68
100 AÑOS Y MÁS;16
Filadelfia;
Total;11.400
00-04;751
05-09;804
10-14;847
15-19;818
20-24;694
25-29;617
30-34;602
35-39;663
40-44;715
45-49;769
50-54;813
55-59;810
60-64;767
65-69;632
70-74;453
75-79;292
80-84;182
85-89;97
90-94;46
95-99;22
100 AÑOS Y MÁS;6
La Dorada;
Total;74.006
00-04;5.563
05-09;5.601
10-14;5.636
15-19;5.618
20-24;5.442
25-29;5.657
30-34;5.433
35-39;5.301
40-44;4.848
45-49;4.442
50-54;4.428
55-59;4.265
60-64;3.765
65-69;2.969
70-74;2.118
75-79;1.386
80-84;816
85-89;433
90-94;191
95-99;71
100 AÑOS Y MÁS;23
La Merced;
Total;5.882
00-04;363
05-09;379
10-14;405
15-19;417
20-24;375
25-29;335
30-34;329
35-39;360
40-44;362
45-49;383
50-54;431
55-59;446
60-64;399
65-69;324
70-74;241
75-79;158
80-84;95
85-89;47
90-94;20
95-99;11
100 AÑOS Y MÁS;2
Manzanares;
Total;17.794
00-04;1.346
05-09;1.329
10-14;1.325
15-19;1.330
20-24;1.215
25-29;1.119
30-34;1.055
35-39;1.102
40-44;1.131
45-49;1.142
50-54;1.160
55-59;1.112
60-64;1.017
65-69;836
70-74;621
75-79;421
80-84;255
85-89;134
90-94;67
95-99;39
100 AÑOS Y MÁS;38
Marmato;
Total;9.167
00-04;915
05-09;822
10-14;750
15-19;753
20-24;773
25-29;756
30-34;634
35-39;588
40-44;566
45-49;559
50-54;524
55-59;441
60-64;341
65-69;253
70-74;198
75-79;138
80-84;76
85-89;41
90-94;22
95-99;15
100 AÑOS Y MÁS;2
Marquetalia;
Total;13.490
00-04;1.094
05-09;1.092
10-14;1.078
15-19;1.008
20-24;857
25-29;796
30-34;791
35-39;847
40-44;833
45-49;815
50-54;850
55-59;848
60-64;796
65-69;643
70-74;462
75-79;310
80-84;187
85-89;104
90-94;50
95-99;23
100 AÑOS Y MÁS;6
Marulanda;
Total;2.544
00-04;230
05-09;199
10-14;177
15-19;181
20-24;159
25-29;157
30-34;158
35-39;166
40-44;162
45-49;164
50-54;185
55-59;175
60-64;135
65-69;93
70-74;83
75-79;61
80-84;32
85-89;18
90-94;4
95-99;5
100 AÑOS Y MÁS;0
Neira;
Total;21.114
00-04;1.517
05-09;1.520
10-14;1.551
15-19;1.563
20-24;1.489
25-29;1.411
30-34;1.301
35-39;1.341
40-44;1.318
45-49;1.290
50-54;1.351
55-59;1.325
60-64;1.222
65-69;1.025
70-74;784
75-79;523
80-84;310
85-89;165
90-94;69
95-99;28
100 AÑOS Y MÁS;11
Norcasia;
Total;6.128
00-04;524
05-09;532
10-14;544
15-19;534
20-24;472
25-29;440
30-34;408
35-39;398
40-44;399
45-49;382
50-54;339
55-59;293
60-64;249
65-69;214
70-74;172
75-79;108
80-84;57
85-89;29
90-94;15
95-99;16
100 AÑOS Y MÁS;3
Pácora;
Total;15.324
00-04;930
05-09;948
10-14;983
15-19;1.024
20-24;989
25-29;975
30-34;940
35-39;942
40-44;925
45-49;995
50-54;1.130
55-59;1.161
60-64;1.039
65-69;801
70-74;568
75-79;409
80-84;282
85-89;167
90-94;78
95-99;32
100 AÑOS Y MÁS;6
Palestina;
Total;15.681
00-04;1.205
05-09;1.156
10-14;1.127
15-19;1.142
20-24;1.140
25-29;1.150
30-34;1.073
35-39;1.058
40-44;996
45-49;998
50-54;1.024
55-59;954
60-64;838
65-69;655
70-74;462
75-79;312
80-84;191
85-89;105
90-94;56
95-99;33
100 AÑOS Y MÁS;6
Pensilvania;
Total;19.755
00-04;1.515
05-09;1.526
10-14;1.537
15-19;1.477
20-24;1.295
25-29;1.217
30-34;1.168
35-39;1.210
40-44;1.191
45-49;1.169
50-54;1.238
55-59;1.259
60-64;1.133
65-69;896
70-74;686
75-79;514
80-84;350
85-89;211
90-94;107
95-99;45
100 AÑOS Y MÁS;11
Riosucio;
Total;51.956
00-04;4.062
05-09;3.867
10-14;3.764
15-19;3.858
20-24;3.819
25-29;3.641
30-34;3.357
35-39;3.439
40-44;3.219
45-49;2.941
50-54;2.995
55-59;3.014
60-64;2.776
65-69;2.302
70-74;1.847
75-79;1.365
80-84;850
85-89;470
90-94;253
95-99;93
100 AÑOS Y MÁS;24
Risaralda;
Total;10.568
00-04;739
05-09;732
10-14;754
15-19;785
20-24;744
25-29;713
30-34;692
35-39;726
40-44;714
45-49;697
50-54;714
55-59;667
60-64;574
65-69;470
70-74;340
75-79;223
80-84;139
85-89;76
90-94;38
95-99;24
100 AÑOS Y MÁS;7
Salamina;
Total;19.393
00-04;1.165
05-09;1.244
10-14;1.328
15-19;1.325
20-24;1.217
25-29;1.210
30-34;1.229
35-39;1.247
40-44;1.187
45-49;1.223
50-54;1.349
55-59;1.397
60-64;1.297
65-69;1.027
70-74;751
75-79;513
80-84;330
85-89;198
90-94;105
95-99;40
100 AÑOS Y MÁS;11
Samaná;
Total;19.967
00-04;1.706
05-09;1.681
10-14;1.628
15-19;1.489
20-24;1.288
25-29;1.247
30-34;1.231
35-39;1.282
40-44;1.256
45-49;1.221
50-54;1.237
55-59;1.192
60-64;1.065
65-69;866
70-74;637
75-79;428
80-84;262
85-89;142
90-94;66
95-99;35
100 AÑOS Y MÁS;8
San José;
Total;4.916
00-04;409
05-09;374
10-14;345
15-19;331
20-24;325
25-29;313
30-34;283
35-39;288
40-44;308
45-49;343
50-54;353
55-59;306
60-64;269
65-69;232
70-74;174
75-79;109
80-84;71
85-89;46
90-94;22
95-99;13
100 AÑOS Y MÁS;2
Supía;
Total;29.363
00-04;2.322
05-09;2.200
10-14;2.130
15-19;2.222
20-24;2.321
25-29;2.278
30-34;2.012
35-39;1.968
40-44;1.887
45-49;1.776
50-54;1.752
55-59;1.677
60-64;1.491
65-69;1.157
70-74;849
75-79;588
80-84;355
85-89;204
90-94;114
95-99;47
100 AÑOS Y MÁS;13
Victoria;
Total;10.351
00-04;808
05-09;824
10-14;832
15-19;785
20-24;681
25-29;669
30-34;633
35-39;623
40-44;635
45-49;664
50-54;674
55-59;627
60-64;556
65-69;458
70-74;345
75-79;234
80-84;150
85-89;86
90-94;39
95-99;22
100 AÑOS Y MÁS;6
Villamaría;
Total;67.429
00-04;4.376
05-09;4.376
10-14;4.505
15-19;4.925
20-24;5.260
25-29;5.316
30-34;5.210
35-39;5.355
40-44;4.872
45-49;4.352
50-54;4.249
55-59;3.940
60-64;3.440
65-69;2.690
70-74;1.900
75-79;1.235
80-84;733
85-89;400
90-94;192
95-99;74
100 AÑOS Y MÁS;29
Viterbo;
Total;12.853
00-04;720
05-09;801
10-14;913
15-19;990
20-24;960
25-29;894
30-34;833
35-39;852
40-44;827
45-49;815
50-54;852
55-59;813
60-64;723
65-69;614
70-74;490
75-79;351
80-84;208
85-89;110
90-94;53
95-99;26
100 AÑOS Y MÁS;8
Florencia;
Total;173.011
00-04;14.712
05-09;14.847
10-14;15.150
15-19;16.214
20-24;16.632
25-29;15.831
30-34;13.979
35-39;12.273
40-44;10.340
45-49;8.969
50-54;8.500
55-59;7.459
60-64;5.959
65-69;4.429
70-74;3.158
75-79;2.105
80-84;1.252
85-89;694
90-94;344
95-99;123
100 AÑOS Y MÁS;41
Albania;
Total;4.396
00-04;377
05-09;428
10-14;467
15-19;433
20-24;370
25-29;311
30-34;277
35-39;267
40-44;266
45-49;249
50-54;231
55-59;209
60-64;157
65-69;115
70-74;87
75-79;70
80-84;43
85-89;25
90-94;11
95-99;3
100 AÑOS Y MÁS;0
Belén de Los Andaquies;
Total;11.181
00-04;1.000
05-09;1.138
10-14;1.311
15-19;1.187
20-24;933
25-29;800
30-34;710
35-39;681
40-44;643
45-49;588
50-54;546
55-59;460
60-64;361
65-69;287
70-74;213
75-79;141
80-84;91
85-89;51
90-94;23
95-99;15
100 AÑOS Y MÁS;2
Cartagena del Chairá;
Total;31.151
00-04;3.792
05-09;3.718
10-14;3.497
15-19;3.047
20-24;2.549
25-29;2.321
30-34;2.131
35-39;1.983
40-44;1.801
45-49;1.586
50-54;1.348
55-59;1.085
60-64;819
65-69;582
70-74;393
75-79;253
80-84;131
85-89;57
90-94;30
95-99;22
100 AÑOS Y MÁS;6
Curillo;
Total;7.772
00-04;870
05-09;881
10-14;858
15-19;764
20-24;623
25-29;541
30-34;501
35-39;479
40-44;424
45-49;364
50-54;340
55-59;320
60-64;274
65-69;199
70-74;130
75-79;88
80-84;59
85-89;32
90-94;15
95-99;8
100 AÑOS Y MÁS;2
El Doncello;
Total;19.284
00-04;1.783
05-09;1.880
10-14;1.924
15-19;1.772
20-24;1.487
25-29;1.337
30-34;1.265
35-39;1.215
40-44;1.148
45-49;1.062
50-54;1.019
55-59;928
60-64;742
65-69;565
70-74;442
75-79;324
80-84;205
85-89;112
90-94;50
95-99;20
100 AÑOS Y MÁS;4
El Paujil;
Total;18.464
00-04;1.958
05-09;1.950
10-14;1.888
15-19;1.732
20-24;1.552
25-29;1.396
30-34;1.189
35-39;1.076
40-44;1.042
45-49;1.016
50-54;932
55-59;770
60-64;604
65-69;456
70-74;335
75-79;240
80-84;163
85-89;99
90-94;45
95-99;18
100 AÑOS Y MÁS;3
La Montañita;
Total;14.692
00-04;1.541
05-09;1.665
10-14;1.697
15-19;1.451
20-24;1.140
25-29;1.013
30-34;957
35-39;935
40-44;903
45-49;809
50-54;686
55-59;571
60-64;441
65-69;327
70-74;242
75-79;156
80-84;82
85-89;45
90-94;24
95-99;7
100 AÑOS Y MÁS;0
Milán;
Total;9.952
00-04;1.244
05-09;1.284
10-14;1.249
15-19;1.041
20-24;796
25-29;648
30-34;590
35-39;569
40-44;516
45-49;449
50-54;409
55-59;352
60-64;281
65-69;203
70-74;131
75-79;93
80-84;55
85-89;24
90-94;11
95-99;7
100 AÑOS Y MÁS;0
Morelia;
Total;3.747
00-04;379
05-09;366
10-14;347
15-19;335
20-24;316
25-29;291
30-34;251
35-39;230
40-44;232
45-49;227
50-54;191
55-59;160
60-64;136
65-69;103
70-74;74
75-79;52
80-84;31
85-89;16
90-94;7
95-99;3
100 AÑOS Y MÁS;0
Puerto Rico;
Total;26.282
00-04;2.598
05-09;2.779
10-14;2.899
15-19;2.718
20-24;2.260
25-29;1.874
30-34;1.651
35-39;1.543
40-44;1.468
45-49;1.403
50-54;1.262
55-59;1.039
60-64;842
65-69;669
70-74;503
75-79;339
80-84;210
85-89;128
90-94;70
95-99;23
100 AÑOS Y MÁS;4
San José del Fragua;
Total;13.099
00-04;1.318
05-09;1.465
10-14;1.546
15-19;1.385
20-24;1.094
25-29;937
30-34;876
35-39;822
40-44;755
45-49;666
50-54;582
55-59;495
60-64;380
65-69;285
70-74;201
75-79;129
80-84;77
85-89;45
90-94;25
95-99;14
100 AÑOS Y MÁS;2
San Vicente del Caguán;
Total;52.593
00-04;6.124
05-09;5.887
10-14;5.502
15-19;5.003
20-24;4.567
25-29;4.278
30-34;3.850
35-39;3.497
40-44;3.076
45-49;2.656
50-54;2.265
55-59;1.845
60-64;1.436
65-69;1.024
70-74;673
